detection_time,magnitude,Houang&Beroza_(TM),Yoon_(FAST),Horton_(STA/LTA),Ogwary_(STA/LTA),Mousavi_(CRED)
2010-08-01T00:01:35.400000Z,0.07979,1,1,0,0,1
2010-08-01T00:02:52.790000Z,-0.21243,1,1,0,0,0
2010-08-01T00:04:30.610000Z,-0.05627,1,1,0,0,1
2010-08-01T00:39:56.680000Z,0.09644,1,1,0,0,0
2010-08-01T00:59:06.940000Z,0.4074,1,1,0,0,0
2010-08-01T01:14:57.220000Z,-0.06083,1,1,0,0,0
2010-08-01T01:24:11.260000Z,-0.14093,1,1,0,0,1
2010-08-01T01:35:08.090000Z,-0.54618,1,1,0,0,0
2010-08-01T01:57:09.830000Z,-0.32809,1,1,0,0,0
2010-08-01T02:04:34.370000Z,0.20718,1,0,0,0,1
2010-08-01T02:11:15.480000Z,0.21164,1,1,0,0,0
2010-08-01T02:18:24.020000Z,-0.20511,1,1,0,0,0
2010-08-01T02:23:49.260000Z,0.20941,1,1,0,0,0
2010-08-01T02:33:09.040000Z,-0.34322,1,1,0,0,1
2010-08-01T02:45:59.100000Z,-0.30439,1,1,0,0,0
2010-08-01T02:56:54.680000Z,-0.11911,1,1,0,0,0
2010-08-01T02:57:59.490000Z,-1.02677,1,1,0,0,0
2010-08-01T03:17:59.380000Z,-0.1423,1,1,0,0,0
2010-08-01T03:23:43.940000Z,-0.59257,1,1,0,0,0
2010-08-01T03:42:20.520000Z,-0.64695,1,1,0,0,0
2010-08-01T03:47:03.340000Z,-0.37599,1,1,0,0,0
2010-08-01T03:47:18.390000Z,0.69989,1,0,0,0,0
2010-08-01T03:47:20.210000Z,0.7523,1,1,0,0,0
2010-08-01T03:47:59.160000Z,-0.1624,1,1,0,0,0
2010-08-01T04:06:06.410000Z,-1.30762,1,1,0,0,1
2010-08-01T04:14:40.390000Z,-0.35649,1,1,0,0,1
2010-08-01T04:15:14.920000Z,-0.27299,1,1,0,0,0
2010-08-01T04:15:46.870000Z,0.17797,1,0,0,0,0
2010-08-01T04:22:14.550000Z,0.33773,1,0,0,0,1
2010-08-01T04:22:54.070000Z,-0.5023,1,1,0,0,0
2010-08-01T04:23:30.530000Z,0.1421,1,1,0,0,0
2010-08-01T04:29:00.790000Z,0.2911,1,1,0,0,1
2010-08-01T04:30:21.330000Z,-0.57143,1,1,0,0,0
2010-08-01T04:52:02.090000Z,-0.59241,1,1,0,0,0
2010-08-01T05:02:28.790000Z,-0.65967,1,1,0,0,1
2010-08-01T05:05:33.630000Z,-0.67772,1,1,0,0,0
2010-08-01T05:10:32.830000Z,0.11147,1,1,0,0,0
2010-08-01T05:16:05.750000Z,-0.19403,1,1,0,0,1
2010-08-01T05:16:49.860000Z,0.1926,1,1,0,0,0
2010-08-01T05:18:23.140000Z,0.22837,1,1,0,0,0
2010-08-01T05:37:14.710000Z,0.07794,1,1,0,0,0
2010-08-01T05:38:55.600000Z,-0.3176,1,1,0,0,0
2010-08-01T05:42:18.470000Z,-0.67203,1,1,0,0,0
2010-08-01T05:58:36.940000Z,-0.00076,1,1,0,0,1
2010-08-01T06:02:04.410000Z,0.221,1,1,0,0,1
2010-08-01T06:08:06.210000Z,-0.5245,1,1,0,0,1
2010-08-01T06:09:07.460000Z,-0.35211,1,1,0,0,1
2010-08-01T06:09:21.420000Z,-0.0963,1,1,0,0,0
2010-08-01T06:10:07.430000Z,-0.42756,1,1,0,0,0
2010-08-01T06:12:33.820000Z,-0.50022,1,1,0,0,0
2010-08-01T06:13:49.950000Z,0.6014,1,1,0,0,1
2010-08-01T06:14:50.640000Z,0.04577,1,1,0,0,0
2010-08-01T06:17:32.900000Z,0.14761,1,1,0,0,1
2010-08-01T06:18:49.640000Z,-0.17021,1,1,0,0,0
2010-08-01T06:20:16.510000Z,-0.50041,1,1,0,0,0
2010-08-01T06:37:25.120000Z,-0.66834,1,0,0,0,0
2010-08-01T06:40:39.440000Z,-0.21774,1,1,0,0,0
2010-08-01T06:53:07.370000Z,-0.18997,1,1,0,0,1
2010-08-01T07:05:18.030000Z,-1.1607,1,0,0,0,0
2010-08-01T07:07:05.230000Z,-0.0317,1,1,0,0,1
2010-08-01T07:11:52.840000Z,0.03554,1,1,0,0,0
2010-08-01T07:16:27.140000Z,-0.00827,1,1,0,0,0
2010-08-01T07:16:29.860000Z,-0.03772,1,0,0,0,0
2010-08-01T07:17:31.710000Z,-0.28497,1,1,0,0,0
2010-08-01T07:45:53.200000Z,-0.37064,1,1,0,0,0
2010-08-01T07:48:07.660000Z,-0.02075,1,1,0,0,1
2010-08-01T08:05:06.320000Z,-0.42825,1,1,0,0,0
2010-08-01T08:07:23.940000Z,-0.40423,1,1,0,0,0
2010-08-01T08:11:48.120000Z,-0.74077,1,1,0,0,1
2010-08-01T08:17:52.720000Z,-0.76138,1,1,0,0,0
2010-08-01T08:37:48.750000Z,-0.19531,1,1,0,0,0
2010-08-01T08:38:43.220000Z,0.075,1,1,0,0,0
2010-08-01T08:42:22.140000Z,-0.82104,1,1,0,0,0
2010-08-01T08:43:02.780000Z,-0.14815,1,1,0,0,0
2010-08-01T08:46:33.260000Z,-0.29456,1,1,0,0,1
2010-08-01T08:47:46.860000Z,0.02328,1,1,0,0,1
2010-08-01T08:48:10.990000Z,-0.75805,1,0,0,0,0
2010-08-01T08:57:03.770000Z,-0.28761,1,1,0,0,0
2010-08-01T09:11:15.980000Z,-0.45787,1,1,0,0,0
2010-08-01T09:15:35.010000Z,-0.90552,1,1,0,0,1
2010-08-01T09:16:17.710000Z,-0.0745,1,1,0,0,0
2010-08-01T09:29:33.420000Z,-0.58465,1,1,0,0,0
2010-08-01T09:31:10.470000Z,-0.15911,1,1,0,0,1
2010-08-01T09:43:21.510000Z,-1.16756,1,1,0,0,0
2010-08-01T09:49:35.310000Z,-0.6881,1,1,0,0,0
2010-08-01T10:02:14.660000Z,-0.62731,1,1,0,0,0
2010-08-01T10:15:28.000000Z,-0.03619,0,1,0,0,1
2010-08-01T10:30:46.650000Z,-0.22856,1,1,0,0,0
2010-08-01T10:35:19.550000Z,-0.28717,1,1,0,0,0
2010-08-01T10:48:29.290000Z,-0.3341,1,1,0,0,0
2010-08-01T11:12:39.810000Z,0.04382,1,1,0,0,1
2010-08-01T11:14:36.760000Z,-0.34627,1,1,0,0,0
2010-08-01T11:29:16.720000Z,-0.41457,1,1,0,0,1
2010-08-01T11:33:00.820000Z,-0.58931,1,1,0,0,0
2010-08-01T11:41:17.150000Z,-0.26644,1,1,0,0,1
2010-08-01T11:52:07.860000Z,-0.55994,1,1,0,0,0
2010-08-01T11:52:16.670000Z,-0.42612,1,1,0,0,0
2010-08-01T11:54:05.040000Z,-0.23163,1,1,0,0,0
2010-08-01T12:26:29.960000Z,0.3387,1,1,0,0,1
2010-08-01T12:27:50.330000Z,-0.1358,1,1,0,0,0
2010-08-01T12:39:24.930000Z,-0.32628,1,1,0,0,0
2010-08-01T12:41:54.930000Z,-0.43239,1,1,0,0,1
2010-08-01T12:42:14.090000Z,-0.50382,1,1,0,0,0
2010-08-01T12:55:35.850000Z,0.05,1,1,0,0,0
2010-08-01T13:03:03.060000Z,-0.31002,1,1,0,0,0
2010-08-01T13:11:42.130000Z,-0.57301,1,1,0,0,0
2010-08-01T13:12:39.690000Z,-0.66808,1,1,0,0,0
2010-08-01T13:15:41.740000Z,0.05314,1,1,0,0,1
2010-08-01T13:31:32.500000Z,-0.82858,1,1,0,0,0
2010-08-01T13:33:42.580000Z,-0.74284,1,1,0,0,0
2010-08-01T13:41:07.900000Z,0.40959,1,1,0,0,0
2010-08-01T13:41:43.670000Z,-0.3596,1,1,0,0,0
2010-08-01T13:42:39.910000Z,-0.10923,1,1,0,0,1
2010-08-01T13:46:04.250000Z,-0.37494,1,1,0,0,0
2010-08-01T13:47:25.430000Z,0.0228,1,1,0,0,0
2010-08-01T13:48:40.420000Z,-1.09075,1,1,0,0,0
2010-08-01T13:50:37.450000Z,-0.10539,1,1,0,0,0
2010-08-01T14:11:46.370000Z,-0.4046,1,1,0,0,1
2010-08-01T14:20:13.240000Z,-0.03501,1,0,0,0,0
2010-08-01T14:21:44.710000Z,-0.14746,1,1,0,0,0
2010-08-01T14:21:51.420000Z,-0.79203,1,1,0,0,0
2010-08-01T14:40:09.800000Z,-0.2124,1,1,0,0,0
2010-08-01T14:41:30.210000Z,0.0937,1,1,0,0,0
2010-08-01T14:47:43.360000Z,-0.28155,1,1,0,0,0
2010-08-01T14:55:31.320000Z,-0.90611,1,1,0,0,0
2010-08-01T15:56:39.830000Z,0.21675,1,1,0,0,0
2010-08-01T16:01:26.930000Z,-0.60681,1,1,0,0,0
2010-08-01T16:25:47.200000Z,-0.1055,1,1,0,0,0
2010-08-01T16:49:46.630000Z,-0.06004,1,1,0,0,0
2010-08-01T16:56:04.040000Z,-0.30714,1,1,0,0,0
2010-08-01T17:19:25.130000Z,-0.86215,1,1,0,0,1
2010-08-01T17:29:18.760000Z,-0.00127,1,1,0,0,0
2010-08-01T17:32:37.100000Z,-0.55937,1,1,0,0,0
2010-08-01T17:33:24.140000Z,-0.19394,1,1,0,0,1
2010-08-01T17:45:55.750000Z,-0.26221,1,0,0,0,0
2010-08-01T17:51:11.410000Z,0.16197,1,1,0,0,0
2010-08-01T17:52:43.590000Z,-0.29239,1,1,0,0,0
2010-08-01T18:01:19.370000Z,-0.43432,1,1,0,0,0
2010-08-01T18:01:27.190000Z,-0.33246,1,1,0,0,0
2010-08-01T18:11:40.720000Z,-0.29282,1,1,0,0,0
2010-08-01T18:33:57.820000Z,0.10234,1,1,0,0,0
2010-08-01T18:42:30.090000Z,-0.11873,1,1,0,0,0
2010-08-01T18:45:47.140000Z,-0.24147,1,1,0,0,0
2010-08-01T18:51:16.210000Z,-0.27582,1,1,0,0,0
2010-08-01T19:07:49.390000Z,0.06345,1,1,0,0,0
2010-08-01T19:07:58.300000Z,-0.91688,0,1,0,0,1
2010-08-01T19:08:01.940000Z,0.47573,1,1,0,0,0
2010-08-01T19:26:40.770000Z,-0.2708,1,1,0,0,0
2010-08-01T19:30:23.180000Z,0.23527,1,1,0,0,1
2010-08-01T19:30:53.760000Z,0.27209,1,1,0,0,0
2010-08-01T19:35:18.970000Z,-0.33608,1,1,0,0,1
2010-08-01T19:38:19.680000Z,-0.32592,1,1,0,0,1
2010-08-01T19:43:04.760000Z,-0.17602,1,1,0,0,0
2010-08-01T19:56:28.620000Z,-0.20666,1,1,0,0,0
2010-08-01T20:01:27.580000Z,-0.70257,1,1,0,0,0
2010-08-01T20:02:52.060000Z,0.0764,1,1,0,0,0
2010-08-01T20:10:49.180000Z,0.36463,1,1,0,0,1
2010-08-01T20:13:39.300000Z,0.27453,1,1,0,0,0
2010-08-01T20:18:59.870000Z,-0.53153,1,1,0,0,0
2010-08-01T20:22:09.600000Z,0.08408,1,1,0,0,0
2010-08-01T20:24:24.380000Z,-0.80306,1,1,0,0,1
2010-08-01T20:28:15.580000Z,-1.00555,1,1,0,0,0
2010-08-01T20:29:21.970000Z,-0.14116,1,1,0,0,1
2010-08-01T20:31:34.640000Z,0.1128,1,1,0,0,0
2010-08-01T20:35:37.780000Z,0.28387,1,1,0,0,0
2010-08-01T20:36:08.590000Z,-0.23643,1,1,0,0,0
2010-08-01T20:41:45.020000Z,-1.15054,1,1,0,0,0
2010-08-01T20:49:36.950000Z,0.34071,1,1,0,0,0
2010-08-01T20:57:54.090000Z,-0.00704,1,1,0,0,1
2010-08-01T21:00:21.740000Z,-0.07019,1,1,0,0,0
2010-08-01T21:07:35.260000Z,0.34936,1,1,0,0,0
2010-08-01T21:10:51.880000Z,0.10906,1,1,0,0,1
2010-08-01T21:15:58.790000Z,-0.4123,1,1,0,0,0
2010-08-01T21:19:11.540000Z,-0.17394,1,1,0,0,0
2010-08-01T21:24:47.310000Z,0.04983,1,1,0,0,0
2010-08-01T21:32:18.840000Z,0.2044,1,1,0,0,0
2010-08-01T21:35:27.030000Z,-0.79939,1,1,0,0,0
2010-08-01T21:37:40.190000Z,-0.64819,1,1,0,0,0
2010-08-01T21:39:28.030000Z,-0.47249,1,0,0,0,0
2010-08-01T21:39:39.530000Z,-0.57308,1,1,0,0,0
2010-08-01T22:05:14.950000Z,-0.24729,1,1,0,0,0
2010-08-01T22:05:52.360000Z,-0.40195,1,1,0,0,0
2010-08-01T22:17:16.570000Z,-0.89898,1,1,0,0,0
2010-08-01T22:32:43.010000Z,-0.5295,1,0,0,0,1
2010-08-01T22:40:45.520000Z,-0.30811,1,1,0,0,0
2010-08-01T22:43:00.790000Z,-0.09806,1,1,0,0,0
2010-08-01T22:56:17.010000Z,-0.17248,1,1,0,0,0
2010-08-01T22:57:41.470000Z,-0.36804,1,1,0,0,1
2010-08-01T22:58:43.650000Z,-0.26521,1,1,0,0,0
2010-08-01T23:10:40.320000Z,-0.31517,1,0,0,0,0
2010-08-01T23:13:48.260000Z,-0.27297,1,1,0,0,0
2010-08-01T23:20:20.720000Z,-0.34062,1,1,0,0,0
2010-08-01T23:23:06.020000Z,-0.23414,1,1,0,0,0
2010-08-01T23:43:23.470000Z,-0.08353,1,1,0,0,0
2010-08-01T23:46:29.730000Z,-0.39251,1,1,0,0,0
2010-08-01T23:55:37.220000Z,-0.05614,1,1,0,0,0
2010-08-02T00:04:52.720000Z,-0.30826,1,1,0,0,0
2010-08-02T00:13:55.960000Z,-0.26737,1,1,0,0,0
2010-08-02T00:18:01.550000Z,-0.18258,1,1,0,0,1
2010-08-02T00:18:08.400000Z,-1.20984,1,0,0,0,0
2010-08-02T00:20:27.980000Z,-0.37135,1,1,0,0,1
2010-08-02T00:21:08.630000Z,0.14386,1,1,0,0,0
2010-08-02T00:32:46.290000Z,-0.00142,1,1,0,0,0
2010-08-02T00:32:50.970000Z,-0.32173,1,1,0,0,0
2010-08-02T00:32:56.200000Z,-0.90188,1,1,0,0,0
2010-08-02T00:44:53.430000Z,-1.29823,1,1,0,0,0
2010-08-02T01:17:19.200000Z,0.18431,1,1,0,0,0
2010-08-02T01:31:49.050000Z,-0.23101,1,1,0,0,0
2010-08-02T01:35:09.120000Z,-0.24749,1,1,0,0,0
2010-08-02T01:36:01.920000Z,-0.58629,1,1,0,0,0
2010-08-02T01:40:42.150000Z,-0.93719,1,1,0,0,1
2010-08-02T01:41:38.690000Z,0.12774,1,1,0,0,0
2010-08-02T01:43:15.630000Z,-0.54952,1,1,0,0,1
2010-08-02T01:46:47.000000Z,0.2046,1,1,0,0,0
2010-08-02T01:51:40.290000Z,-0.27445,1,1,0,0,0
2010-08-02T01:51:54.920000Z,0.24565,1,1,0,0,0
2010-08-02T02:35:14.860000Z,-0.37275,1,1,0,0,0
2010-08-02T02:39:17.630000Z,-0.03773,1,1,0,0,0
2010-08-02T02:42:07.600000Z,-0.49128,0,1,0,0,0
2010-08-02T02:44:34.040000Z,-0.63143,1,1,0,0,0
2010-08-02T02:47:06.640000Z,-0.29025,1,1,0,0,0
2010-08-02T02:59:05.730000Z,0.09931,1,1,0,0,0
2010-08-02T03:01:40.640000Z,-0.71846,1,1,0,0,0
2010-08-02T03:31:20.780000Z,0.33465,1,1,0,0,0
2010-08-02T03:52:53.060000Z,0.13893,1,1,0,0,1
2010-08-02T03:54:21.960000Z,-0.35525,1,1,0,0,0
2010-08-02T04:03:09.680000Z,0.3378,1,1,0,0,0
2010-08-02T04:03:19.810000Z,-0.23306,1,1,0,0,0
2010-08-02T04:14:07.310000Z,0.33141,1,0,0,0,0
2010-08-02T04:20:09.710000Z,-0.13764,1,1,0,0,0
2010-08-02T04:28:51.080000Z,-0.36148,1,1,0,0,1
2010-08-02T04:29:04.230000Z,-0.79781,1,1,0,0,0
2010-08-02T04:29:49.630000Z,0.32212,1,1,0,0,0
2010-08-02T04:32:15.460000Z,-0.54126,1,1,0,0,0
2010-08-02T04:35:21.100000Z,0.0532,1,1,0,0,1
2010-08-02T04:39:19.390000Z,-0.22124,1,1,0,0,0
2010-08-02T04:40:12.360000Z,-0.51943,1,1,0,0,0
2010-08-02T04:40:40.060000Z,-0.11701,1,1,0,0,0
2010-08-02T04:43:12.080000Z,0.09115,1,1,0,0,0
2010-08-02T04:44:56.740000Z,-0.59834,1,1,0,0,0
2010-08-02T04:49:31.630000Z,-0.04625,1,1,0,0,1
2010-08-02T04:52:27.260000Z,-0.1014,1,1,0,0,0
